Petronius   E017600002 E017900008
            E503900193 E504600235
            E504600235 E528500206
            E528500206 E550500050
            E550500050 E551200079
            E551200079 E566900002
            E566900002 E567800018
            E567800018 E647400163
            E647400163 E675800043
            E675800043 E677400116
            E677400116 E677900016
            E677900016 E678600038
            E678600038 E685300229
            E685300229 E686600267
            E686600267 E686600271
            E686600271 E693000093
            E693000093 E696300000
            E696300000 E020900183
            
Aulus       E018400017 E027000506
            E027000506 E027700578
            E027700578 E028000585
            E028000585 E045000377
            E045000377 E046100391
            E046100391 E046600399
            E046600399 E049500453
            E049500453 E052000542
            E052000542 E053500580
            E053500580 E055500622
            E055500622 E055900632
            E055900632 E056700652
            E056700652 E057500675
            E057500675 E060100004 
            E060100004 E066600072
            E066600072 E286800778
            E286800778 E304100850
            E304100850 E369700247
            E369700247 E372800336
            E372800336 E008500330
            E008500330 E031700092
            E031700092 E064800328
            E064800328 E071100470
            E071100470 E077000992
            E077000992 E083200151
            E083200151 E088900030
            E088900030 E091000014
            E091000014 E091400027
            E091400027 E095500177
            E095500177 E096400229
            E096400229 E097900287
            E097900287 E119400931
            E119400931 E164400633
            
Vinicius    E018800053 E021400213
            E021400213 E022100256
            E022100256 E022900273
            E022900273 E034800217
            E034800217 E035700227
            E035700227 E036400233
            E036400233 E036700238
            E036700238 E038100266
            E038100266 E039900293
            E039900293 E052800565
            E052800565 E055400618
            E055400618 E055600626
            E055600626 E056800656
            E056800656 E057000659
            E057000659 E058000680
            E058000680 E058700687
            E058700687 E060500012
            E060500012 E061800080
            E061800080 E073300528
            E073300528 E080400000
            E080400000 E150000000
            E150000000 E167400049
            E167400049 E170400001
            E170400001 E176000014
            E176000014 E176200017
            E176200017 E210300005
            E210300005 E240100004
            E240100004 E269500638
            E269500638 E270200500
            E270200500 E270300003
            E270300003 E272600514
            E272600514 E300400021
            E300400021 E301000799
            E301000799 E301500805
            E301500805 E302800830
            E302800830 E303500839
            E303500839 E303800845
            E303800845 E310001062
            E310001062 E312501104
            E312501104 E316901203
            E316901203 E317801230
            E317801230 E319100604
            E319100604 E320101249
            E320101249 E326900724
            E326900724 E326901357
            E326901357 E329301391
            E329301391 E332100021
            E332100021 E337700086
            E337700086 E347000184
            E347000184 E353800250
            E353800250 E359200277
            E359200277 E360000694
            E360000694 E361400049
            E361400049 E365800143
            E365800143 E367600180
            E367600180 E371200304
            E371200304 E372200323
            E372200323 E374600376
            E374600376 E383000915
            E383000915 E383700499
            E383700499 E384100631
            E384100631 E386400926
            E386400926 E390900018
            E390900018 E396600055
            E396600055 E397400059
            E397400059 E398100068
            E398100068 E398700073
            E398700073 E401100102 
            E401100102 E403900125
            E403900125 E408000174
            E408000174 E408200814
            E408200814 E409700190
            E409700190 E410800851
            E410800851 E411300196
            E411300196 E421700039
            E421700039 E432300292
            E432300292 E434500374
            E434500374 E435200410
            E435200410 E437700460
            E437700460 E441700566
            E441700566 E446400683
            E446400683 E448800764
            E448800764 E449800796
            E449800796 E450300008
            E450300008 E451000042
            E451000042 E458100213
            E458100213 E458700226
            E458700226 E459500244
            E459500244 E463700352
            E463700352 E467700486
            E467700486 E468600528
            E468600528 E469700570
            E469700570 E470800591
            E470800591 E471200601
            E471200601 E471900629
            E471900629 E473200661
            E473200661 E480000002
            E480000002 E480000000
            E480000000 E498200008
            E498200008 E498300015
            E498300015 E500000083
            E500000083 E500800100
            E500800100 E501600124
            E501600124 E503100174
            E503100174 E505200262
            E505200262 E506100300
            E506100300 E518300236
            E518300236 E527500168
            E527500168 E528000183
            E528000183 E528500204
            E528500204 E531000032
            E531000032 E532800086
            E532800086 E538400240
            E538400240 E545400000
            E545400000 E551200076
            E551200076 E567200005
            E567200005 E568300040
            E568300040 E569000001
            E569000001 E569900028
            E569900028 E570600043
            E570600043 E571300057
            E571300057 E577300221
            E577300221 E578700001
            E578700001 E579700045
            E579700045 E580300073
            E580300073 E580700114
            E580700114 E588000082
            E588000082 E588300129
            E588300129 E607300152
            E607300152 E619200049
            E619200049 E642300001
            E642300001 E648300235
            E648300235 E650500002
            E650500002 E654000182
            E654000182 E678000019
            E678000019 E681100131
            E681100131 E687600306
            E687600306 E690200006
            E690200006 E692400068
            E692400068 E695200057
            E695200057 E696400016
            E696400016 E696900078
            E696900078 E712100000
            E712100000 E000400059
            E000400059 E004000172
            E004000172 E006700265
            E006700265 E006700266
            E006700266 E007600276
            E007600276 E008400322
            E008400322 E009100342
            E009100342 E009500370
            E009500370 E011300410
            E011300410 E016700621
            E016700621 E019200064
            E019200064 E060100005
            E060100005 E061800070
            E061800070 E064300306
            E064300306 E072000496
            E072000496 E072200502
            E072200502 E086200293
            E086200293 E091500031
            E091500031 E091700044
            E091700044 E092600080
            E092600080 E110800705
            E110800705 E111800724
            E111800724 E116800859
            E116800859 E118800906
            E118800906 E152000004
            E152000004 E163800615
            E163800615 E164400629
            E164400629 E160000513
            E160000513 E160600530
            E160600530 E161200543
            E161200543 E162000571
            E162000571 E164100620
            E164100620 E169500115
            E169500115 E175600000
            E175600000 E175700002
            E175700002 E190500837
            E190500837 E191800901
            E191800901 E240200172
            E240200172 E240300010
            E240300010 E245800837
            E245800837 E252601204
            E252601204 E262000515
            E262000515 E288100285
            E288100285 E300400785
            E300400785 E306600245
            E306600245 E307800983
            E307800983 E309201037
            E309201037 E309601051
            E309601051 E322601295
            E322601295 E332400023
            E332400023 E346000770
            E346000770 E361300830
            E361300830 E369700882
            E369700882 E449800800
            E449800800 E458400220
            E458400220 E459300237
            E459300237 E469200547
            E469200547 E469600566
            E469600566 E470100583
            E470100583 E500600093
            E500600093 E501100108
            E501100108 E508100387
            E508100387 E508500405
            E508500405 E550900067
            E550900067 E551500089
            E551500089 E569700017
            E569700017 E577000215
            E577000215 E622900249
            E622900249 E675800042
            E675800042 E675900057
            E675900057 E020900188
            E020900188 E174600160
            E174600160 E002600127
           
Vinicius+tovarășii
            E210800027 E213800199
            E213800199 

Vinicius+Petronius
            E017600000 E026300498
            E026300498 E030500030
            E030500030 E073300527
            E073300527 E091500033
            E091500033 E164800643
            E164800643 E165000648
            E165000648 E165101045
            E165101045 E169700119
            E169700119 E425200093
            E425200093 E589000144
            
Vinicius+Ligia 
            E696900080 E299501639             
			E299501639 E375400397
            E375400397 E375500403
            E375500403 E409400834
            E409400834 E412300894
            E412300894 E544000346
            E544000346 E572800111
            E572800111 E650700007
            E650700007 E678600035
            E678600035 E690400014
            E690400014 E695300108
            E695300108 E696700043
            E696700043 E713400063
            E713400063 E714500138
            E714500138 E712600020
            
Pomponia+Aulus 
            E579100012 E091000016
            E091000016 E152900037
            E152900037 E293001554
            E293001554 E372700332
            E372700332

sclava(Chilon) 
            E241600179 E243000183
            E243000183

închisoarea E546200014 E547900058
            E547900058 E569900022
            E569900022 E579900059
            E579900059

poporul     E023300330 E152700033
            E152700033 E485600044
            E485600044 E485700048
            E485700048 E485800054
            E485800054 E488600162
            E488600162 E489800179
            E489800179 E492000232
            E492000232 E492400241
            E492400241 E493200260
            E493200260 E493200261
            E493200261 E493800273
            E493800273 E493900274
            E493900274 E493900278
            E493900278 E495400304
            E495400304 E496600329
            E496600329 E496700334
            E496700334 E507100325
            E507100325 E509500003
            E509500003 E516900178
            E516900178 E510000009
            E510000009 E510500017
            E510500017 E513300090
            E513300090 E518100229
            E518100229 E537800231
            E537800231 E538100236
            E538100236 E585600006
            E585600006 E588100096
            E588100096 E598600427
            E598600427 E586000010
            E586000010 E586300019
            E586300019 E592300245
            E592300245 E598900434
            E598900434 E602600053
            E602600053 E603300073
            E603300073 E606100129
            E606100129 E615600008
            E615600008 E617200000
            E617200000 E627200388
            E627200388 E633800083
            E633800083 E635400166
            E635400166 E655200000
            E655200000 E655200001
            E655200001 E655600007
            E655600007 E669200015
            E669200015 E669400020
            E669400020 E677700008
            E677700008 E685700242
            E685700242 E686100248
            E686100248 E693600013
            E693600013 E702800084
            E702800084 E704100020
            E704100020 E704500042
            E704500042 E705200063
            E705200063 E706800112
            E706800112 E672400003
            
pedisequi   E112100732 E576000191
            
gal         E593400278 E594200298
           
paznici     E541200290 E570700044
            E570700044 E588100085
            E588100085 E621000156
           

soldat_creștin
			E570900050 E571400061
            E571400061 E571700068
            E571700068 E580200070
           

fecioare_creștine 
            E574000138 E580400085             
vigili      E113700779 E240400658
          

Gulo        E115500818 E316000552
           

Vannius     E011500416 E011700419
              

Cryzothemis E018900057 E041900319
            E041900319 E042900342
            E042900342 E043200346
            E043200346 E320001248
            E320001248 E109400664
            
Eunice      E320401255 E333400034
            E333400034 E534300132
            E534300132 E016900626
            E016900626 E165300658
            E165300658 E190400819
           
Chilon      E166900004 E171500191
            E171500191 E172400063
            E172400063 E173900146
            E173900146 E176000010
            E176000010 E176500039
            E176500039 E177800004
            E177800004 E178200038
            E178200038 E178900055
            E178900055 E179300071
            E179300071 E210000000
            E210000000 E228201159
            E228201159 E241100044
            E241100044 E243000182
            E243000182 E254100335
            E254100335 E270300006
            E270300006 E270800011
            E270800011 E307400261
            E307400261 E349700202
            E349700202 E369800252
            E369800252 E458200215
            E458200215 E458300218
            E458300218 E468900531
            E468900531 E469700572
            E469700572 E469900579
            E469900579 E498200009
            E498200009 E525100050
            E525100050 E576100194
            E576100194 E577300222
            E577300222 E577700242
            E577700242 E589000142
            E589000142 E599900474
            E599900474 E600500001
            E600500001 E608000197
            E608000197 E637000001
            E637000001 E657600074
            E657600074 E661900256
            E661900256 E669500030
            E669500030 E670000051
            E670000051 E671000106
            E671000106 E158300478
            E158300478 E158400482
            E158400482 E160300524
            E160300524 E162300580
            E162300580 E165000646
            E165000646 E162400581
            E162400581 E163500611
            E163500611 E165600672
            E165600672 E169600118
            E169600118 E180500020
            E180500020 E183300225
            E183300225 E192901009
            E192901009 E193601059
            E193601059 E246200883
            E246200883 E354500906
            E354500906 E474200681 
            E474200681 E523600426
            E523600426 E524400021
            E524400021 E524600029
            E524600029 E524800038
            E524800038 E578200267
            E578200267 E579600042
            E579600042 E579800052
            E579800052 E602200043
            E602200043 E602200045
            E602200045 E658100095
            E658100095 E658300101
            E658300101 E658800112 
            E658800112 E658800115
            E658800115 E661300245
            E661300245 E662100260
            E662100260 E665600352
            E665600352 E665800366
            E665800366 E667100388
            E667100388 E667900406
            E667900406 E668900001
            E668900001 E670100067
            E670100067 E670500078
            E670500078 E670800100
            E670800100 E671500119
           

